Var1,n
mphl,1
mpi,2
mpj,1
mpk,1
mpl,3
mpm,1
mpn,1
mpo,5
mpq,3
mpro,1
mps,4
mpu,1
mpur,3
mput,2
mpv,1
mpw,5
mpx,4
mpy,3
mpz,3
mra,1
mrb,2
mrd,6
mre,2
mrh,2
mrm,2
mro,1
mrs,2
mru,2
msa,2
msb,2
msc,1
msd,3
mse,1
msg,2
msh,2
msi,2
msj,2
msl,2
msm,2
msn,2
mso,1
msp,2
msq,3
msr,1
mss,1
mst,4
msu,6
msv,2
msw,1
msx,1
msy,2
msz,2
mta,1
mtb,1
mtd,1
mte,1
mtf,1
mtg,1
mth,2
mthd,3
mthe,3
mthr,3
mti,1
mtj,1
mtk,1
mtl,1
mtn,1
mto,1
mtp,2
mtq,1
mts,2
mtt,2
mtu,1
mtub,1
mtuc,1
mtue,1
mtuh,1
mtul,1
mtur,1
mtut,1
mtuu,1
mtv,1
mtx,1
mtz,1
mul,1
mup,1
mva,2
mvc,3
mvd,1
mve,6
mvg,6
mvi,6
mvn,4
mvo,2
mvq,1
mvr,6
mvs,11
mvu,2
mwe,1
mwo,2
mxa,4
myc,1
mye,2
mym,4
myo,1
myr,8
mys,1
myt,2
myv,2
myz,5
mzh,3
nae,1
nal,5
nam,4
nar,3
nat,3
naz,4
nbr,3
nbv,1
nca,2
nch,1
nco,1
ncy,3
nda,5
nde,1
ndk,1
ndl,1
ndo,2
nel,4
net,1
neu,2
nev,1
nfa,3
nga,1
nge,3
ngg,3
ngk,4
ngl,3
ngo,4
nha,1
nhl,2
nhm,1
nia,1
nid,1
nii,1
nin,1
nir,1
nis,3
nit,1
nko,3
nkr,1
nla,4
nmd,4
nme,4
nmg,3
nmh,4
nmi,4
nml,2
nmm,4
nmn,4
nmo,1
nmp,4
nmq,4
nmr,1
nms,4
nmt,4
nmu,1
nmv,1
nmw,4
nmx,4
nmz,4
nno,3
noa,1
noc,2
nom,1
non,1
nop,5
nos,4
nou,4
npe,3
nph,1
npn,3
npp,3
npu,4
nre,3
nri,1
nsa,2
nse,1
nsl,1
nso,2
nsr,2
nth,4
ntr,1
nur,1
nvn,1
nwa,2
nwe,4
nwi,1
nzs,2
oac,3
oah,4
oai,5
oan,4
oar,2
oat,2
oca,1
oce,7
ocg,1
oco,1
oho,2
oih,7
olo,1
ols,1
oni,2
ooe,2
opo,8
opr,2
ops,5
orh,3
ori,3
osp,4
ote,1
otm,1
oto,3
ots,1
ott,1
ova,3
paa,1
pab,1
paby,1
pac,3
paca,2
pacc,3
pace,4
pach,3
paci,5
pacn,3
pad,2
pae,4
paea,10
paeb,4
paec,4
paee,10
paef,10
paeg,4
paeh,9
paei,4
paej,10
pael,4
paem,4
paen,10
paeo,4
paep,4
paeq,10
paer,4
paes,4
paeu,1
paev,4
paf,4
pag,4
pagc,2
pagg,7
pah,2
pai,1
paj,7
pak,3
palc,3
pali,5
palk,6
paly,1
pam,7
pami,4
pana,9
panp,7
pant,7
pao,7
pap,4
papi,3
paq,7
par,4
pary,3
pas,1
pat,5
pato,7
patr,7
pau,4
pav,3
paw,3
pax,3
pay,7
paz,3
pba,5
pbb,5
pbc,5
pbd,10
pbh,3
pbj,9
pbm,4
pbo,4
pbr,1
pbs,2
pbt,2
pbv,9
pbw,8
pca,2
pcc,7
pce,4
pch,5
pci,6
pck,3
pcl,1
pcm,5
pcn,3
pcp,5
pcq,1
pcr,4
pct,7
pcv,7
pcz,5
pdc,12
pde,2
pdf,12
pdg,11
pdi,7
pdk,4
pdl,1
pdm,4
pdn,4
pdo,2
pdq,1
pdr,5
pdt,5
pdu,9
pdx,3
pec,7
pecq,1
ped,4
pef,1
pel,1
pen,7
peo,1
pep,4
pes,5
pfb,6
pfc,6
pfe,5
pff,6
pfg,4
pfi,1
pfl,5
pfm,1
pfn,6
pfo,6
pfq,7
pfre,2
pft,9
pfu,1
pfus,4
pfv,4
pfw,6
pfx,1
pfz,5
pga,4
pgb,9
pgd,4
pge,7
pgi,4
pgl,4
pgm,10
pgn,4
pgt,4
pgv,2
pha,9
phc,10
phe,3
phh,1
phl,2
phm,1
phn,2
pho,1
php,1
phy,1
pia,8
pih,12
pin,10
pis,1
pit,4
pjd,12
pkc,4
pko,4
pkr,4
pkt,6
pku,9
pla,1
plb,1
plc,1
pld,1
ple,1
plf,7
pli,1
pll,9
plm,2
pln,8
plo,1
plp,3
plr,1
plt,2
plu,7
plv,8
ply,1
plz,1
pma,1
pman,6
pmar,9
pmb,1
pmc,1
pme,1
pmf,2
pmg,1
pmh,1
pmi,1
pmib,7
pmic,3
pmj,1
pmk,4
pml,2
pmm,1
pmn,1
pmo,2
pmon,6
pmos,7
pmot,6
pmp,6
pmq,14
pmr,7
pms,13
pmt,3
pmuc,2
pmul,6
pmv,6
pmw,13
pmx,2
pmy,4
pmz,4
pna,2
pnc,4
pne,1
pnp,11
pnr,4
pns,2
pnu,1
pob,1
pod,10
pog,1
pol,1
pom,2
por,5
porl,1
pow,6
pox,4
poy,2
ppac,2
ppar,3
ppb,7
ppc,2
ppd,4
ppe,5
ppen,5
ppeo,13
ppf,6
ppg,7
pph,3
pphe,9
pphr,3
ppi,6
ppj,7
ppk,4
ppm,13
ppn,3
ppnm,4
ppno,4
ppo,14
ppol,12
ppoy,15
ppq,13
ppr,15
pprc,5
ppro,5
ppse,4
ppsy,8
ppt,6
ppu,7
ppud,5
ppuh,7
ppul,4
ppun,7
pput,5
ppuu,7
ppv,7
ppw,7
ppx,4
ppy,12
ppz,5
pra,3
prb,4
prc,1
pre,5
prg,3
prh,6
pri,9
prl,1
prm,1
prn,1
pro,4
proc,1
prp,4
prr,10
prt,9
pru,4
prw,5
psa,4
psab,9
psac,1
psb,5
psc,4
psd,1
pse,8
psea,4
psec,7
psee,4
pseh,3
psem,5
pseo,7
pseq,1
pses,6
pseu,2
psf,6
psg,4
psh,4
pshi,11
psi,7
psim,2
psj,4
psk,5
psl,1
psm,8
psn,4
pso,4
psos,6
psp,5
pspg,4
pspi,2
pspu,4
pspw,2
psr,4
pst,5
psta,3
pste,11
psts,4
pstt,4
pstu,4
psty,1
psu,2
psul,4
psuw,1
psv,7
psw,6
psx,7
psy,10
psyc,1
psyg,2
psyr,5
psz,4
pta,9
pth,2
ptl,10
ptn,9
pto,1
ptp,2
ptq,3
ptt,7
ptv,5
ptx,2
pub,1
puf,15
pul,6
pur,6
put,2
puv,3
pva,7
pve,4
pvi,1
pvl,7
pwa,7
pws,5
pxl,12
pya,1
pyc,1
pye,1
pyn,1
pyr,1
pys,1
pyw,1
pzu,1
raa,7
rab,1
rac,1
rae,3
raf,1
rag,3
rah,7
rai,3
rak,1
ral,4
ram,1
ran,3
raq,7
rar,3
rat,1
rau,1
rav,4
rba,1
rbar,1
rbc,2
rbe,1
rbi,2
rbm,2
rbn,1
rbo,1
rbr,1
rbt,1
rbu,2
rca,2
rcc,1
rce,4
rch,1
rci,3
rcm,1
rco,1
rcp,4
rde,1
rdn,3
rdp,4
reb,5
rec,3
red,2
reh,5
rei,3
rel,3
rep,3
rer,5
ret,3
reu,6
rey,4
rfa,2
rfe,1
rfr,2
rga,3
rge,3
rgi,1
rha,4
rhb,4
rhd,2
rhe,1
rhi,3
rhm,1
rhn,3
rho,4
rhp,1
rht,1
rhy,1
rhz,1
rim,1
rin,3
rip,2
rir,4
riv,3
rix,1
rja,1
rla,1
rlb,3
rlg,3
rli,1
rlt,3
rlu,3
rma,1
rmb,4
rmc,1
rme,4
rmg,1
rmi,1
rmm,1
rmn,2
rmo,1
rmr,1
rms,1
rmu,3
roa,4
rob,1
ron,8
rop,4
ror,8
rpa,2
rpb,1
rpc,2
rpd,2
rpe,2
rpf,3
rpg,1
rph,1
rpha,1
rpi,3
rpj,6
rpk,1
rpl,1
rpla,1
rpm,1
rpn,1
rpo,1
rpp,1
rpq,1
rpr,1
rps,1
rpt,2
rpv,1
rpw,1
rpx,2
rpy,4
rpz,1
rra,1
rrb,1
rrc,1
rre,1
rrf,4
rrh,1
rri,1
rrj,1
rrm,1
rrn,1
rrp,1
rrr,1
rrs,2
rru,4
rsa,2
rsb,1
rsc,3
rsd,1
rse,4
rsh,4
rsi,2
rsk,4
rsl,3
rsm,4
rsn,3
rso,8
rsp,3
rsq,4
rst,12
rsu,3
rsv,1
rsw,1
rta,1
rtb,1
rtc,1
rti,4
rtn,2
rto,1
rtr,3
rtt,1
rtx,2
rty,1
rud,1
ruf,2
ruk,1
rus,4
rva,2
rxy,1
saa,5
saal,1
sab,5
sac,6
saci,8
sacn,1
sacr,1
sacs,1
sacz,3
sad,5
sae,5
saf,2
sag,7
saga,3
sagc,6
sage,7
sagg,7
sagi,7
sagl,6
sagm,7
sagn,7
sagp,6
sagq,5
sagr,7
sags,6
sagt,7
sah,6
sai,1
saj,6
sak,7
sal,1
salb,7
sali,1
sall,5
sals,6
salt,3
salu,7
salv,4
sam,6
samb,6
same,1
samy,2
san,7
sanc,4
sang,4
sans,4
sao,5
sap,5
sapi,1
saq,3
sar,5
sat,1
satk,2
satr,1
sau,5
saua,4
saub,6
sauc,5
saud,6
saue,5
sauf,6
saug,5
saui,6
sauj,5
sauk,5
saum,1
saun,5
sauq,5
saur,5
saus,5
saut,5
sauu,5
sauv,5
sauw,5
saux,5
sauy,5
sauz,5
sav,5
saw,5
sax,5
say,5
saz,8
sba,2
sbac,2
sbb,10
sbc,7
sbd,2
sbe,1
sbg,7
sbh,6
sbl,10
sbm,10
sbn,10
sbo,7
sbp,10
sbs,10
sbt,10
sbu,4
sbv,7
sbw,3
sbz,7
sca,5
scap,6
scb,6
scc,3
scd,3
scf,4
scg,4
sch,3
sci,6
scj,1
scl,4
sclf,1
scn,4
sco,6
scon,4
scos,4
scp,4
scq,1
scr,1
scs,2
sct,6
scu,4
scv,1
scw,6
scx,2
scy,6
scz,6
sda,5
sdc,5
sde,2
sdf,1
sdg,5
sdi,1
sdl,3
sdn,8
sdq,5
sdr,2
sds,5
sdt,5
sdy,7
sdz,1
sea,7
seb,7
sec,7
sect,1
sed,7
seds,2
see,7
seeb,8
seec,7
seeh,7
seen,8
seep,7
sef,7
sega,7
seh,7
sehc,1
sei,7
sej,7
sek,7
sel,7
sele,4
selo,2
sem,7
sen,4
sena,5
senc,7
send,7
sene,7
senh,7
seni,7
senj,7
senl,7
senm,1
senn,7
seno,6
senq,5
senr,4
sens,7
sent,7
senv,7
seo,7
seon,2
sep,5
sepp,4
seps,6
seq,5
seqo,7
sequ,5
ser,6
serf,7
seri,1
serj,1
sers,7
ses,5
sesp,4
set,7
setc,7
setu,7
seu,6
sev,7
sew,7
sex,7
sey,7
sez,5
sezo,5
sfa,6
sfc,3
sfd,3
sfe,7
sfg,6
sfh,3
sfi,6
sfl,7
sfn,7
sfo,7
sfr,9
sfs,7
sfu,2
sfv,7
sfw,7
sfx,7
sga,6
sgb,1
sgc,7
sgg,7
sgi,1
sgl,7
sgn,3
sgo,4
sgp,4
sgr,6
sgs,1
sgt,5
sgu,6
sgy,4
sha,5
shal,2
shb,6
shc,1
shd,2
she,9
shg,4
shh,5
shi,2
shl,10
shm,9
shn,9
sho,6
shp,8
shq,7
sht,2
shu,6
shv,4
shw,8
shy,6
shz,3
sia,1
sib,4
sic,1
sid,1
sie,4
sif,6
sig,2
sih,1
sii,1
sij,2
sik,4
sil,3
sim,1
sin,1
sinb,1
sio,4
sip,3
siq,4
sir,1
sis,1
sit,5
siu,4
siv,12
six,3
siy,1
siz,5
sje,7
sjj,4
sjp,3
ske,4
skn,1
sku,3
slc,1
sle,4
slg,6
slh,3
sli,4
sll,1
slm,1
sln,5
slo,8
slp,2
slq,8
slr,2
slt,2
slu,6
slv,6
sma,6
smac,7
smaf,7
smag,1
smar,7
smaz,1
smb,4
smc,5
smd,3
sme,3
smeg,3
smel,3
smer,3
smf,5
smg,1
smh,1
smi,3
smia,1
smir,1
smj,5
smk,3
smn,6
smon,2
smq,3
smr,1
sms,1
smt,4
smu,5
smua,5
smub,1
smue,1
smul,2
smum,1
smup,1
smut,5
smv,1
smw,7
smx,3
smy,2
smz,4
sna,2
snc,4
snd,4
sne,4
sng,1
snj,2
snm,4
sno,1
snp,4
sns,1
snt,4
snu,4
snx,4
sod,7
soi,4
sol,1
son,9
sor,4
sox,1
soz,6
spa,6
span,1
spas,5
spav,2
spb,6
spc,8
spd,4
spe,7
spf,6
spg,6
sph,6
sphb,2
sphg,2
sphi,2
sphk,1
sphl,1
sphm,2
sphn,2
sphp,1
sphr,3
spi,6
spiu,1
spj,6
spk,6
spl,11
sply,4
spm,6
spmi,2
spne,4
spng,4
spnm,4
spnn,4
spno,4
spnu,4
spoi,2
spor,4
spp,4
spq,6
spr,4
spri,6
sps,5
spsy,10
spt,7
spv,4
spw,4
spx,4
spy,6
spya,6
spyh,6
spym,5
spyo,6
spz,6
sra,7
srb,1
srd,3
srh,1
sri,7
srl,7
srm,1
srn,1
sro,6
srp,4
srr,7
srs,7
srt,1
sru,1
srw,1
sry,7
srz,1
ssa,4
ssab,2
ssah,1
ssal,1
ssan,3
ssb,4
ssch,6
sscz,6
ssd,6
ssdc,1
sse,12
ssf,4
ssg,4
ssi,4
ssif,6
ssil,12
ssk,4
ssm,2
ssn,7
sso,1
ssoa,1
ssof,1
ssol,1
ssp,6
ssq,4
ssr,6
sss,4
sst,4
ssu,4
ssui,4
ssus,4
ssut,4
ssuy,4
ssv,4
ssw,4
ssx,6
ssy,2
ssyr,1
ssz,1
sta,2
stai,1
stax,3
stb,5
std,1
ste,6
stek,4
ster,1
stf,6
stg,5
sth,6
sthe,5
sths,1
sti,2
stj,6
stk,5
stm,7
stn,5
sto,1
stp,3
stq,2
str,4
strc,5
stre,7
strf,3
strm,7
strp,6
strs,6
strt,1
stsi,2
stt,7
stu,6
stv,1
stw,5
stx,5
sty,7
stz,6
sua,4
suam,2
sub,5
suc,5
sud,6
sue,5
suf,4
suh,4
sui,4
suj,5
suk,5
sul,3
sula,1
sulr,4
sum,1
sun,3
suo,4
sup,4
suq,6
sur,2
sus,2
sut,5
suu,5
suv,5
suw,5
sux,5
suy,5
suz,5
sve,3
svi,3
svl,6
svo,14
svt,7
swa,5
swd,10
swi,2
swo,3
swp,8
sxi,1
sxl,7
sxo,6
sxy,4
syb,3
syc,2
syd,2
sye,2
syf,2
syg,2
syh,2
syi,1
syj,2
syn,2
synd,3
syne,1
synk,1
synp,2
synr,2
syp,2
syq,2
syr,1
sys,2
syt,2
syu,2
syw,2
syx,2
syy,2
syz,2
sze,3
taa,2
tae,1
taf,3
tag,1
tah,1
tai,3
tal,1
tam,3
tao,2
tap,8
taq,2
tar,1
tas,3
tau,8
taz,2
tba,1
tbd,2
tbe,4
tbi,4
tbn,1
tbo,4
tcb,1
tch,1
tcm,1
tco,5
tcu,4
tcx,3
tcy,2
tde,2
tdi,6
tdn,4
tea,3
tee,1
tel,1
ten,2
tep,2
teq,3
ter,2
tes,1
teu,1
tex,4
tez,1
tfa,2
tfl,2
tfo,2
tfu,4
tga,1
tgr,1
tgy,1
tha,1
thal,1
thb,1
thc,2
thd,1
the,1
thf,1
thg,1
thi,1
thl,5
thm,1
thn,1
tho,1
thq,1
thr,1
ths,1
thu,4
thv,1
thw,1
thx,4
thz,1
tid,2
tig,1
tin,1
tit,4
tjr,3
tki,1
tkm,1
tko,1
tle,1
tli,3
tlt,1
tma,1
tmb,2
tmc,3
tme,4
tmi,1
tmm,1
tmo,4
tmq,1
tmr,2
tmt,4
tmw,1
tmx,1
tmz,4
tna,1
tne,1
tni,1
tnp,1
tnr,2
tnu,1
toc,3
toh,1
tol,4
tom,1
ton,1
top,1
tor,4
tos,2
tpa,2
tpar,1
tpas,2
tpb,2
tpc,2
tpd,4
tpe,1
tped,2
tpep,1
tpg,2
tph,2
tpi,2
tpj,1
tpk,2
tpl,2
tpm,2
tpn,2
tpo,2
tpp,2
tpq,2
tpr,2
tpro,4
tpt,1
tpu,2
tpw,2
tpx,2
tpy,2
tpyo,1
tpz,3
tra,2
trm,2
tro,1
trq,1
trs,2
tsa,1
tsc,2
tsh,5
tsi,1
tsn,1
tsu,4
tta,1
tte,4
tth,2
tti,1
ttj,2
ttk,1
ttl,2
ttm,5
ttn,1
tto,5
ttr,2
tts,2
ttu,3
tur,2
tuz,1
tvi,3
tvo,1
tvr,1
twh,1
twi,4
tws,1
txi,4
txy,5
tye,1
udi,1
upa,2
uue,2
uur,2
vaa,2
vag,11
van,7
vap,2
vau,8
vbr,3
vca,10
vce,7
vcf,8
vch,8
vci,8
vcj,7
vcl,8
vcm,7
vco,8
vcq,9
vcr,8
vcs,7
vct,6
vcx,10
vcy,11
vcz,7
vdi,1
vei,3
vej,9
vex,11
vfi,12
vfl,10
vfm,1
vfu,7
vha,11
vhl,8
vhr,12
vig,2
vin,3
vir,7
vma,3
vmi,9
vmo,1
vna,4
vni,8
vok,1
vpa,11
vpb,11
vpd,2
vpe,2
vpf,12
vph,8
vpi,4
vpk,11
vpr,4
vsa,12
vsc,3
vsp,8
vte,6
vtu,10
vvl,8
vvm,9
vvu,9
vvy,9
wbm,1
wbr,2
wcb,8
wce,6
wch,2
wci,6
wcl,1
wct,6
wed,1
wen,1
wfu,1
wgl,2
wij,1
win,2
wko,5
wma,1
woc,1
wol,1
woo,1
wpi,1
wri,1
wvi,5
wwe,1
xac,2
xal,2
xao,2
xau,2
xax,2
xbo,7
xbv,7
xca,2
xcb,2
xcc,2
xce,3
xcf,2
xci,2
xcj,2
xcm,2
xcn,2
xcp,2
xcr,2
xct,2
xcu,2
xcw,2
xdo,7
xfa,2
xff,2
xfl,2
xfm,2
xfn,2
xfr,1
xfs,2
xft,2
xfu,2
xga,1
xho,1
xne,7
xnm,7
xom,2
xoo,2
xop,2
xor,2
xoy,2
xoz,2
xpe,1
xpo,7
xsa,2
xtn,2
xve,1
yak,7
yal,7
yan,5
yef,9
yel,7
yen,7
yep,7
yet,7
yew,7
yey,7
yfr,7
yin,7
ykr,7
ypa,7
ypb,7
ypc,7
ypd,6
ype,6
ypf,7
ypg,7
yph,7
ypi,7
ypj,7
ypk,7
ypl,6
ypm,7
ypn,7
ypo,7
ypp,7
ypq,7
ypr,7
yps,6
ypt,6
ypu,7
ypv,6
ypw,6
ypx,6
ypy,7
ypz,6
yrb,7
yro,7
yru,7
ysi,7
zal,3
zga,2
zin,1
zmb,3
zmc,3
zmi,2
zmm,2
zmn,3
zmo,3
zmp,3
zmr,3
zpr,3
